"length","kips","min_thkn","max_thkn","min_wght_asd","limit_state_asd","slenderRat"
150,0,0.375,12,"1.66_0.382","Tensile_Yielding",318.0701333
156,0,0.1875,72,"0.84_0.188","Tensile_Yielding",650.2484019
156,0,0.1875,36,"0.84_0.188","Tensile_Yielding",650.2484019
156,0,0.1875,24,"0.84_0.188","Tensile_Yielding",650.2484019
156,0,0.1875,12,"0.84_0.188","Tensile_Yielding",650.2484019
156,0,0.25,72,"0.84_0.294","Tensile_Yielding",711.5280929
156,0,0.25,36,"0.84_0.294","Tensile_Yielding",711.5280929
156,0,0.25,24,"0.84_0.294","Tensile_Yielding",711.5280929
156,0,0.25,12,"0.84_0.294","Tensile_Yielding",711.5280929
156,0,0.375,72,"1.66_0.382","Tensile_Yielding",330.7929387
156,0,0.375,36,"1.66_0.382","Tensile_Yielding",330.7929387
156,0,0.375,24,"1.66_0.382","Tensile_Yielding",330.7929387
156,0,0.375,12,"1.66_0.382","Tensile_Yielding",330.7929387
162,0,0.1875,72,"0.84_0.188","Tensile_Yielding",675.2579558
162,0,0.1875,36,"0.84_0.188","Tensile_Yielding",675.2579558
162,0,0.1875,24,"0.84_0.188","Tensile_Yielding",675.2579558
162,0,0.1875,12,"0.84_0.188","Tensile_Yielding",675.2579558
162,0,0.25,72,"0.84_0.294","Tensile_Yielding",738.894558
162,0,0.25,36,"0.84_0.294","Tensile_Yielding",738.894558
162,0,0.25,24,"0.84_0.294","Tensile_Yielding",738.894558
162,0,0.25,12,"0.84_0.294","Tensile_Yielding",738.894558
162,0,0.375,72,"1.66_0.382","Tensile_Yielding",343.515744
162,0,0.375,36,"1.66_0.382","Tensile_Yielding",343.515744
162,0,0.375,24,"1.66_0.382","Tensile_Yielding",343.515744
162,0,0.375,12,"1.66_0.382","Tensile_Yielding",343.515744
168,0,0.1875,72,"0.84_0.188","Tensile_Yielding",700.2675097
168,0,0.1875,36,"0.84_0.188","Tensile_Yielding",700.2675097
168,0,0.1875,24,"0.84_0.188","Tensile_Yielding",700.2675097
168,0,0.1875,12,"0.84_0.188","Tensile_Yielding",700.2675097
168,0,0.25,72,"0.84_0.294","Tensile_Yielding",766.2610232
168,0,0.25,36,"0.84_0.294","Tensile_Yielding",766.2610232
168,0,0.25,24,"0.84_0.294","Tensile_Yielding",766.2610232
168,0,0.25,12,"0.84_0.294","Tensile_Yielding",766.2610232
168,0,0.375,72,"1.66_0.382","Tensile_Yielding",356.2385493
168,0,0.375,36,"1.66_0.382","Tensile_Yielding",356.2385493
168,0,0.375,24,"1.66_0.382","Tensile_Yielding",356.2385493
168,0,0.375,12,"1.66_0.382","Tensile_Yielding",356.2385493
174,0,0.1875,72,"0.84_0.188","Tensile_Yielding",725.2770636
174,0,0.1875,36,"0.84_0.188","Tensile_Yielding",725.2770636
174,0,0.1875,24,"0.84_0.188","Tensile_Yielding",725.2770636
174,0,0.1875,12,"0.84_0.188","Tensile_Yielding",725.2770636
174,0,0.25,72,"0.84_0.294","Tensile_Yielding",793.6274883
174,0,0.25,36,"0.84_0.294","Tensile_Yielding",793.6274883
174,0,0.25,24,"0.84_0.294","Tensile_Yielding",793.6274883
174,0,0.25,12,"0.84_0.294","Tensile_Yielding",793.6274883
174,0,0.375,72,"1.66_0.382","Tensile_Yielding",368.9613547
174,0,0.375,36,"1.66_0.382","Tensile_Yielding",368.9613547
174,0,0.375,24,"1.66_0.382","Tensile_Yielding",368.9613547
174,0,0.375,12,"1.66_0.382","Tensile_Yielding",368.9613547
180,0,0.1875,72,"0.84_0.188","Tensile_Yielding",750.2866175
180,0,0.1875,36,"0.84_0.188","Tensile_Yielding",750.2866175
180,0,0.1875,24,"0.84_0.188","Tensile_Yielding",750.2866175
180,0,0.1875,12,"0.84_0.188","Tensile_Yielding",750.2866175
180,0,0.25,72,"0.84_0.294","Tensile_Yielding",820.9939534
180,0,0.25,36,"0.84_0.294","Tensile_Yielding",820.9939534
180,0,0.25,24,"0.84_0.294","Tensile_Yielding",820.9939534
180,0,0.25,12,"0.84_0.294","Tensile_Yielding",820.9939534
180,0,0.375,72,"1.66_0.382","Tensile_Yielding",381.68416
180,0,0.375,36,"1.66_0.382","Tensile_Yielding",381.68416
180,0,0.375,24,"1.66_0.382","Tensile_Yielding",381.68416
180,0,0.375,12,"1.66_0.382","Tensile_Yielding",381.68416
186,0,0.1875,72,"0.84_0.188","Tensile_Yielding",775.2961715
186,0,0.1875,36,"0.84_0.188","Tensile_Yielding",775.2961715
186,0,0.1875,24,"0.84_0.188","Tensile_Yielding",775.2961715
186,0,0.1875,12,"0.84_0.188","Tensile_Yielding",775.2961715
186,0,0.25,72,"0.84_0.294","Tensile_Yielding",848.3604185
186,0,0.25,36,"0.84_0.294","Tensile_Yielding",848.3604185
186,0,0.25,24,"0.84_0.294","Tensile_Yielding",848.3604185
186,0,0.25,12,"0.84_0.294","Tensile_Yielding",848.3604185
186,0,0.375,72,"1.66_0.382","Tensile_Yielding",394.4069653
186,0,0.375,36,"1.66_0.382","Tensile_Yielding",394.4069653
186,0,0.375,24,"1.66_0.382","Tensile_Yielding",394.4069653
186,0,0.375,12,"1.66_0.382","Tensile_Yielding",394.4069653
192,0,0.1875,72,"0.84_0.188","Tensile_Yielding",800.3057254
192,0,0.1875,36,"0.84_0.188","Tensile_Yielding",800.3057254
192,0,0.1875,24,"0.84_0.188","Tensile_Yielding",800.3057254
192,0,0.1875,12,"0.84_0.188","Tensile_Yielding",800.3057254
192,0,0.25,72,"0.84_0.294","Tensile_Yielding",875.7268836
192,0,0.25,36,"0.84_0.294","Tensile_Yielding",875.7268836
192,0,0.25,24,"0.84_0.294","Tensile_Yielding",875.7268836
192,0,0.25,12,"0.84_0.294","Tensile_Yielding",875.7268836
192,0,0.375,72,"1.66_0.382","Tensile_Yielding",407.1297707
192,0,0.375,36,"1.66_0.382","Tensile_Yielding",407.1297707
192,0,0.375,24,"1.66_0.382","Tensile_Yielding",407.1297707
192,0,0.375,12,"1.66_0.382","Tensile_Yielding",407.1297707
198,0,0.1875,72,"0.84_0.188","Tensile_Yielding",825.3152793
198,0,0.1875,36,"0.84_0.188","Tensile_Yielding",825.3152793
198,0,0.1875,24,"0.84_0.188","Tensile_Yielding",825.3152793
198,0,0.1875,12,"0.84_0.188","Tensile_Yielding",825.3152793
198,0,0.25,72,"0.84_0.294","Tensile_Yielding",903.0933487
198,0,0.25,36,"0.84_0.294","Tensile_Yielding",903.0933487
198,0,0.25,24,"0.84_0.294","Tensile_Yielding",903.0933487
198,0,0.25,12,"0.84_0.294","Tensile_Yielding",903.0933487
198,0,0.375,72,"1.66_0.382","Tensile_Yielding",419.852576
198,0,0.375,36,"1.66_0.382","Tensile_Yielding",419.852576
